video_id,channel_id,publish_date,collection_date
IJVlDcPpSao,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-26 05:16:02.000000,2019-12-29 16:13:32.676746
1llG5iCE7JI,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-27 05:39:33.000000,2019-12-29 16:13:32.676626
deYqI-0bQVQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-28 06:13:34.000000,2019-12-29 16:13:32.676511
O7A10awUbvI,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-28 23:39:28.000000,2019-12-29 16:13:32.676391
goajBcj9CRA,UCWJ2lWNubArHWmf3FIHbfcQ,2019-04-30 06:15:55.000000,2019-12-29 16:13:32.676252
wONOVZopImc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-01 06:15:35.000000,2019-12-29 16:13:32.676136
Ltj1VIH0yjc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-02 05:10:50.000000,2019-12-29 16:13:32.676020
Csu4Z_UOsyg,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-03 03:54:13.000000,2019-12-29 16:13:32.675904
8skJ8wj9G_U,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-04 07:54:48.000000,2019-12-29 16:13:32.675787
Ak_AZLDnJ0U,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-05 06:10:51.000000,2019-12-29 16:13:32.675670
XX7lXSc2Wts,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-06 03:06:09.000000,2019-12-29 16:13:32.675552
AVDnOnl4EUg,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-07 05:51:54.000000,2019-12-29 16:13:32.675433
PgCXViRMh5o,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-08 06:17:40.000000,2019-12-29 16:13:32.675314
zEpICmXlCeE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-09 06:09:52.000000,2019-12-29 16:13:32.675196
cCRLdXuw1IQ,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-10 06:49:02.000000,2019-12-29 16:13:32.675079
libH8fKCL4M,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-11 05:07:48.000000,2019-12-29 16:13:32.674960
as5jU6ltkaE,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-13 04:46:59.000000,2019-12-29 16:13:32.674845
gebnHR-6A-0,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-15 05:37:03.000000,2019-12-29 16:13:32.674728
f_q7qbvERzg,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-16 04:33:08.000000,2019-12-29 16:13:32.674611
M_T4xemKIQc,UCWJ2lWNubArHWmf3FIHbfcQ,2019-05-17 04:36:16.000000,2019-12-29 16:13:32.674493
